feedback,classificacao
"O atendimento foi extraordinário, fiquei extremamente satisfeito.",Excelente
O cuidador mostrou dedicação excepcional.,Excelente
"O atendimento foi péssimo, fiquei muito insatisfeito.",Péssimo
A experiência foi muito ruim.,Ruim
Fiquei insatisfeito com o serviço.,Ruim
"Adorei o atendimento, muito prestativo.",Bom
A experiência foi ótima.,Bom
Senti que fui maltratado e não recebi atenção.,Péssimo
"O atendimento foi médio, nada de especial.",Médio
A equipe foi negligente e desinteressada.,Péssimo
"Foi um serviço razoável, sem grandes problemas.",Médio
O cuidador era desatento e mal educado.,Ruim
"O atendimento foi péssimo, fiquei muito insatisfeito.",Péssimo
"A experiência foi incrível, com certeza vou voltar.",Excelente
Agradeço pela atenção e carinho recebidos.,Excelente
"A equipe foi maravilhosa, me ajudaram em tudo que precisei.",Excelente
Senti que fui maltratado e não recebi atenção.,Péssimo
"O atendimento foi bom, nada a reclamar.",Bom
"O atendimento foi médio, nada de especial.",Médio
O cuidador era desatento e mal educado.,Ruim
Foi a pior experiência que já tive com um cuidador.,Péssimo
"O atendimento foi médio, nada de especial.",Médio
Fui muito bem tratado e me senti seguro.,Excelente
O cuidador era desatento e mal educado.,Ruim
"O cuidador foi educado, mas poderia ser mais atento.",Médio
O cuidado recebido foi além do esperado.,Excelente
"O atendimento foi péssimo, fiquei muito insatisfeito.",Péssimo
O cuidado recebido foi além do esperado.,Excelente
A equipe foi tão prestativa que me surpreendeu.,Excelente
Foi a pior experiência que já tive com um cuidador.,Péssimo
"O atendimento foi médio, nada de especial.",Médio
"O atendimento foi extraordinário, fiquei extremamente satisfeito.",Excelente
A experiência foi muito ruim.,Ruim
A experiência foi muito ruim.,Ruim
"O serviço foi adequado, mas não se destacou.",Médio
"A experiência foi aceitável, mas com algumas falhas.",Médio
"O atendimento foi péssimo, fiquei muito insatisfeito.",Péssimo
"Adorei o atendimento, muito prestativo.",Bom
O cuidador era atencioso e educado.,Bom
O serviço foi maravilhoso.,Bom
O cuidador não atendeu às minhas expectativas.,Ruim
"O atendimento foi péssimo, fiquei muito insatisfeito.",Péssimo
A assistência foi ineficiente.,Ruim
O cuidador mostrou dedicação excepcional.,Excelente
O cuidador era atencioso e educado.,Bom
O cuidador foi excepcional.,Excelente
"O serviço foi adequado, mas não se destacou.",Médio
O cuidador mostrou dedicação excepcional.,Excelente
A equipe foi negligente e desinteressada.,Péssimo
O cuidador mostrou dedicação excepcional.,Excelente
Foi a pior experiência que já tive com um cuidador.,Péssimo
"O cuidador foi educado, mas poderia ser mais atento.",Médio
Senti um carinho muito especial durante todo o atendimento.,Excelente
"O serviço foi adequado, mas não se destacou.",Médio
Estou muito feliz com o cuidado.,Bom
"Não recomendo, o serviço foi muito ruim.",Péssimo
"Não recomendo, o serviço foi muito ruim.",Péssimo
A assistência foi ineficiente.,Ruim
O cuidador mostrou dedicação excepcional.,Excelente
"O serviço foi adequado, mas não se destacou.",Médio
"O atendimento foi péssimo, fiquei muito insatisfeito.",Péssimo
Agradeço pela atenção e carinho recebidos.,Excelente
O cuidador mostrou dedicação excepcional.,Excelente
"O cuidador foi educado, mas poderia ser mais atento.",Médio
"O atendimento foi péssimo, fiquei muito insatisfeito.",Péssimo
"Não recomendo, o serviço foi muito ruim.",Péssimo
"Não gostei do atendimento, foi bem fraco.",Ruim
"O cuidador foi educado, mas poderia ser mais atento.",Médio
Senti que fui maltratado e não recebi atenção.,Péssimo
"Não gostei do atendimento, foi bem fraco.",Ruim
O cuidador era desatento e mal educado.,Ruim
O atendimento foi decepcionante.,Ruim
"O atendimento foi bom, nada a reclamar.",Bom
